1000 20
3 6127 273
1 6131 646
7 6146 729
10 6155 444
3 6172 566
9 6177 471
5 6182 420
8 6184 924
6 6192 735
1 6211 623
10 6222 422
10 6227 752
3 6240 397
10 6244 982
9 6248 206
4 6249 448
9 6250 334
1 6264 172
3 6283 609
3 6292 574
2 6295 647
4 6299 296
5 6312 361
4 6313 122
3 6320 474
9 6341 729
5 6358 922
3 6363 906
10 6371 991
1 6372 596
1 6375 224
8 6384 205
9 6385 807
6 6396 199
4 6405 828
2 6422 495
5 6463 820
4 6477 609
4 6482 523
3 6485 943
6 6487 599
5 6491 603
10 6496 291
10 6505 381
2 6511 267
1 6512 858
8 6514 823
5 6520 955
2 6523 821
2 6533 498
3 6539 664
1 6543 277
5 6558 184
1 6560 404
7 6590 191
9 6592 779
3 6602 309
8 6610 681
1 6614 856
10 6618 225
4 6628 621
5 6638 193
4 6646 412
4 6649 891
6 6660 305
6 6668 595
7 6675 970
6 6689 298
8 6696 975
7 6724 725
3 6740 104
7 6751 763
2 6763 508
7 6772 314
10 6773 893
9 6775 833
10 6826 529
10 6828 591
7 6848 727
4 6865 552
5 6868 345
7 6884 769
8 6890 664
2 6892 946
5 6901 885
3 6907 246
10 6941 206
6 6946 693
1 6973 911
8 6977 871
3 6987 509
6 6997 680
1 7012 553
8 7016 271
6 7021 196
4 7026 865
10 7031 971
7 7035 728
2 7037 851
5 7042 410
8 7047 308
8 7054 256
1 7063 104
6 7075 165
8 7080 439
3 7113 731
1 7117 581
10 7124 706
7 7141 150
1 7147 955
1 7155 244
5 7160 522
8 7162 193
4 7184 500
8 7188 915
5 7199 745
5 7244 701
2 7272 794
4 7275 960
8 7280 791
5 7285 300
7 7290 543
6 7302 647
6 7308 702
6 7314 502
5 7320 608
6 7334 287
8 7338 158
5 7361 180
1 7362 137
8 7363 377
10 7372 691
4 7377 330
1 7378 231
4 7380 490
8 7386 976
7 7410 485
2 7413 104
8 7422 324
2 7433 777
7 7452 894
8 7461 343
9 7467 774
1 7469 823
4 7472 299
5 7476 920
4 7477 747
1 7484 133
8 7488 250
9 7498 174
7 7500 967
7 7507 954
9 7511 995
6 7533 483
5 7550 924
8 7571 641
3 7585 447
8 7587 547
9 7589 153
1 7600 303
2 7612 259
9 7622 952
10 7623 562
5 7627 606
5 7651 810
8 7658 859
9 7667 416
7 7673 373
10 7678 586
1 7686 321
10 7693 552
4 7695 406
9 7699 851
5 7707 512
5 7714 382
2 7719 532
9 7743 564
7 7773 711
6 7794 658
3 7807 578
10 7816 815
8 7839 855
2 7872 187
6 7877 822
9 7883 969
8 7886 588
6 7887 229
10 7903 566
4 7904 822
5 7905 255
10 7924 103
4 7929 612
9 7930 134
1 7942 1000
6 7958 549
5 7997 527
1 8006 218
3 8011 559
5 8030 471
4 8043 420
9 8046 398
8 8053 627
7 8077 414
9 8087 489
5 8095 424
7 8117 157
10 8130 251
9 8136 129
7 8138 945
8 8165 803
8 8167 724
1 8174 194
6 8176 584
3 8191 997
2 8215 394
3 8245 470
8 8247 657
6 8258 967
8 8260 460
6 8303 414
1 8324 370
8 8346 532
9 8366 511
8 8380 874
3 8401 857
8 8429 542
6 8439 331
5 8441 991
7 8458 541
10 8464 361
6 8467 146
8 8468 846
4 8470 201
6 8478 315
3 8485 187
2 8491 386
1 8519 385
2 8526 569
4 8528 585
3 8540 972
8 8543 182
6 8545 937
5 8552 648
4 8562 544
6 8573 878
1 8598 428
3 8599 531
7 8601 149
7 8602 763
4 8605 779
10 8610 606
1 8613 205
7 8632 964
5 8637 907
7 8656 656
4 8660 992
3 8661 921
4 8666 192
5 8696 419
9 8703 569
4 8713 417
3 8723 257
7 8727 214
9 8733 329
2 8757 534
7 8766 260
4 8769 278
10 8790 551
4 8794 198
8 8798 248
2 8803 256
1 8811 390
6 8812 801
4 8839 139
4 8865 731
5 8881 542
2 8882 365
7 8901 668
1 8904 488
1 8913 894
5 8922 301
2 8936 411
8 8945 796
1 8948 652
2 8954 304
1 8961 378
5 8966 966
6 8981 195
1 8989 664
10 8992 860
7 9002 712
6 9014 274
8 9028 424
7 9034 693
5 9046 530
3 9051 345
3 9056 222
2 9064 367
8 9065 209
2 9088 331
4 9092 761
2 9100 652
7 9108 188
7 9113 176
8 9124 384
3 9128 780
7 9157 516
4 9158 594
3 9159 880
9 9170 231
6 9171 360
10 9180 558
6 9187 495
8 9191 905
2 9192 163
6 9198 258
5 9200 570
3 9202 933
2 9206 608
1 9232 287
6 9234 360
2 9239 843
6 9246 262
3 9247 749
6 9249 949
4 9260 707
10 9261 885
7 9268 421
2 9270 933
5 9278 166
8 9301 113
4 9303 825
10 9309 129
8 9319 241
9 9322 631
3 9323 314
3 9336 909
5 9337 301
5 9388 164
8 9405 450
3 9407 945
6 9425 100
4 9438 925
7 9439 420
5 9450 537
8 9466 239
8 9474 999
6 9476 539
7 9480 972
7 9481 165
2 9485 304
3 9508 617
3 9513 782
5 9520 187
5 9529 718
9 9533 314
8 9552 888
7 9554 629
3 9575 527
2 9580 884
1 9585 672
7 9588 612
5 9626 941
5 9630 905
1 9636 631
6 9640 843
3 9655 950
2 9665 746
9 9668 884
2 9671 651
9 9672 219
9 9684 667
4 9699 771
1 9702 978
3 9705 596
4 9723 904
8 9725 328
4 9762 779
9 9775 441
1 9781 167
1 9783 467
7 9795 799
4 9802 405
3 9831 369
3 9841 237
5 9848 280
10 9852 474
5 9854 752
8 9855 869
4 9874 104
10 9901 850
8 9904 347
6 9928 536
2 9940 114
7 9950 953
4 9966 868
5 9983 885
5 9992 992
5 10000 706
